   i_ang_1   i_ang_2   i_ang_3   i_ang_4
   o_ang_1   o_ang_2   o_ang_3   o_ang_4       Tot.Eng.       Rel.Eng.
!      2.00      2.00    178.00     90.00
      27.13   -142.31     35.69   -127.14   -4508.342284       0.000301
!      2.00      2.00    182.00     90.00
      27.13   -142.30     35.68   -127.14   -4508.342284       0.000301
!      2.00      2.00      2.00     90.00
      26.50   -140.67   -116.15   -126.06   -4508.342309       0.000276
!      2.00      2.00    358.00     90.00
      26.92   -140.63   -115.96   -126.06   -4508.342333       0.000252
!      2.00    178.00    178.00     90.00
      26.85   -101.40     34.89   -127.71   -4508.342341       0.000245
!      2.00    178.00    182.00     90.00
      26.86   -101.40     34.91   -127.72   -4508.342341       0.000244
!    178.00    178.00    182.00     90.00
     118.70   -101.09     30.55   -125.50   -4508.342393       0.000192
!    178.00    178.00    178.00     90.00
     118.73   -101.09     30.56   -125.52   -4508.342393       0.000192
!    178.00      2.00    182.00     90.00
     119.14   -142.17     35.66   -127.04   -4508.342401       0.000185
!    178.00      2.00    178.00     90.00
     119.14   -142.17     35.65   -127.06   -4508.342401       0.000185
!    178.00      2.00      2.00     90.00
     118.97   -140.70   -116.22   -126.07   -4508.342405       0.000181
!    178.00      2.00    358.00     90.00
     118.97   -140.70   -116.22   -126.05   -4508.342405       0.000180
!      2.00    178.00      2.00     90.00
      26.88    -99.34   -119.61   -126.40   -4508.342496       0.000089
!      2.00    178.00    358.00     90.00
      26.84    -99.48    117.54   -115.62   -4508.342508       0.000077
!    178.00    178.00    358.00     90.00
     119.18    -99.39   -119.67   -126.30   -4508.342585       0.000000
!    178.00    178.00      2.00     90.00
     119.17    -99.39   -119.69   -126.29   -4508.342585       0.000000
