 +------------+---------------------+--------------------------+
 , Transition ,   TDIPM      Osc     ,         Orbitals          , 
 ,     S0->S1 ,     2.6754    1.7971 ,    390->391 :    -0.70292 , 
 ,     S0->S2 ,     2.9144    0.0000 ,    388->391 :     0.70702 , 
 ,     S0->S3 ,     2.9187    0.0000 ,    389->391 :     0.70687 , 
 ,     S0->S4 ,     3.2778    0.0000 ,    387->391 :     0.70707 , 
 ,     S0->S5 ,     3.2851    0.0000 ,    386->391 :     0.70695 , 
 ,     S0->S6 ,     3.3046    0.5834 ,    385->391 :     0.54595 , 
 ,     S0->S7 ,     3.4671    0.0260 ,    390->392 :    -0.49804 , 
 ,     S0->S8 ,     3.4990    0.0118 ,    390->393 :    -0.64198 , 
 ,     S0->S9 ,     3.5750    0.0034 ,    390->394 :     0.47789 , 
 ,    S0->S10 ,     3.5957    0.0049 ,    390->394 :     0.44431 , 
